Wavelength (nm),alina_aged_oil_BHT_0_8,alina_fresh_oil,alina_fresh_oil_BHT_0_8,alina_aged_oil_BHT_0_8_t_28_55,alina_aged_oil_BHT_0_8_t_31_25,alina_aged_oil_BHT_0_8_t_32_15,alina_aged_oil_BHT_0_8_t_37_25,alina_aged_oil_BHT_0_8_t_44_5,alina_aged_oil_BHT_0_8_t_50,alina_aged_oil_BHT_0_8_t_59
381.0,0.06679673104315599,0.2846225197740332,0.28844135960227496,0.11919832997704768,0.10698531791458644,0.15701251708961536,0.07640824427685813,0.2056607288562242,0.24082345171349542,0.15743099301025756
382.0,0.04270206319390017,0.2488902347390071,0.19058652039618157,0.12774953895483132,0.10337074043897197,0.0842310704884961,0.027459751801520486,0.14887101620581691,0.17207858881517335,0.17301997205010758
383.0,0.07329637748415244,0.19315146670370337,0.1127539622136669,0.1097649494242383,0.13087468343727152,0.09662077294825736,0.00452465989953602,0.10906606310300145,0.15475265456236362,0.1363625563008293
384.0,0.0859463891615424,0.15885620314581778,0.03986601073232776,0.12408299260234579,0.14566080521728275,0.08971249744042759,0.014866149128292927,0.05590110690698177,0.139441469355223,0.14329789992112252
385.0,0.09900614899740207,0.12753727106671636,-0.012845962426977109,0.13794500554555722,0.16088158988353524,0.08530122082741298,0.03100321663336808,0.016457967172971127,0.12557395505040048,0.1603063817994383
386.0,0.1093389353061848,0.09854357001584535,-0.040554191239353665,0.14618461708416852,0.173027526617882,0.0802605184824518,0.04848839481952377,-0.0015649720994787841,0.11081427114726033,0.18721050122742117
387.0,0.11380802640234428,0.07122399954265146,-0.038430909679907144,0.14363545604847544,0.17858910460217614,0.07146396577878217,0.06287421609152183,0.009530673089184122,0.09282657714516762,0.2238327574967161
388.0,0.10927670060033412,0.04492745919658214,-0.0016483517237428913,0.12513115126877306,0.1740568130182708,0.055785138089642194,0.06971321285412352,0.05744328673851232,0.06927503254348699,0.2699956498989684
389.0,0.09260823621460756,0.01900284852708445,0.07462124865403408,0.085505331575357,0.15592114104801919,0.03009761078827039,0.06455791751209128,0.14987125284805713,0.03782379684158327,0.325521677725823
390.0,0.06066591155961876,-0.007200932916394898,0.19520565747831775,0.01959162579852325,0.12067257787327446,-0.008725040752094848,0.0429608624701861,0.29451295541737177,-0.003862970461178339,0.3902333402689252
